respondent_id,persona,lead_label,q1_role,q2_org_type,q3_fleet_size,q4_experience_years,q5_location,q6_maintenance_strategy,q7_aog_per_month,q8_annual_mro_spend,annual_spend_usd,q9_engines_apu,q9_landing_gear,q9_avionics,q9_hydraulics,q9_airframe_fuselage,q9_cabin_environmental,q9_fuel_systems,q9_electrical,q10_iot_sensors,q10_acars_qar_analysis,q10_ai_ml_analytics,q10_digital_twin,q10_cloud_mro_software,q10_erp_sap,q10_none,q11_digital_maturity,q12_main_barrier,q13_real-time_alerts,q13_rul_prediction,q13_digital_twin,q13_auto_work_orders,q13_parts_inventory_forecasting,q13_fleet_health_ranking,q13_compliance_reporting,q13_api_erp_integration,q14_deployment_pref,q15_budget_per_aircraft,budget_per_aircraft_usd,q16_pricing_model,q17_decision_maker,q18_procurement_cycle,q19_engine_health_kit,q19_structural_health_kit,q19_avionics_module,q19_ai_analytics_dashboard,q19_digital_twin,q19_compliance_reporting,q19_parts_inventory_optimizer,q19_training_&_onboarding,q20_reduce_aog,q20_extend_component_life,q20_lower_mro_cost,q20_improve_dispatch,q20_regulatory_compliance,q20_parts_inventory_control,q20_reduce_oem_dependency,q21_current_tool_satisfaction,q22_switching_likelihood,q23_aircraft_type,q24_survey_source,q26_attitude_early_adopter,q26_attitude_wait_for_peers,q26_attitude_cost_over_safety,q26_attitude_leadership_champ,q26_attitude_switch_for_ai,q27_airbus_skywise,q27_boeing_analytx,q27_ge_aviation_digital,q27_rr_intelligentengine,q27_lufthansa_aviatar,q27_amos_ramco,q27_none,q27_not_aware,q28_vendor_satisfaction,q29_data_comfort,q30_uae_gcc_data_residency,q30_data_repatriation_on_exit,q30_no_ai_training_on_our_data,q30_iso27001_soc2,q30_gcaa_easa_compliance,q30_end-to-end_encryption,q30_on-prem_option,q30_none_-_trust_saas,q31_min_roi,q32_approval_metric
UAE-0011,Tech_Forward_Carrier,Warm,IT/Digital Lead,Commercial airline (full-service),81-200,6-10 years,Outside GCC,Full predictive + digital twin,1-2,$10M-$50M,21365529,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,8,Legacy integration,0,1,0,1,0,0,1,0,On-premise,$8K-$20K,14151,Fixed monthly SaaS,Joint committee,6-12 months,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,8,6,Boeing wide (B777/B787),LinkedIn/social media,4,2,2,5,5,0,1,0,0,0,1,0,0,No platform,8,0,1,0,1,0,1,0,0,2x,Dispatch reliability %
UAE-0012,Tech_Forward_Carrier,Warm,Fleet/Maintenance Manager,Independent MRO,1-10,11-20 years,Sharjah/Northern Emirates,Full predictive + digital twin,1-2,$500K-$2M,1079489,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,10,Legacy integration,0,1,0,0,0,0,0,1,Full cloud (SaaS),$3K-$8K,4112,Hardware lease + software,Joint committee,<1 month,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,5,9,Airbus wide (A330/A350/A380),LinkedIn/social media,4,1,3,4,3,1,0,0,1,1,0,0,0,No platform,7,1,0,1,1,1,0,0,0,2x,Cost saved per aircraft/yr
UAE-0013,Tech_Forward_Carrier,Hot,Director/VP Operations,Low-cost carrier,31-80,6-10 years,Other GCC,Condition-based,1-2,$2M-$10M,5043926,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,9,Regulatory concerns,0,1,1,0,0,0,0,0,Hybrid,$3K-$8K,4589,Outcome-based,IT/Digital lead,1-3 months,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,5,7,Airbus wide (A330/A350/A380),Email invite,4,2,2,4,5,0,1,1,0,1,0,0,0,No platform,5,0,0,1,0,1,1,0,0,3x in 12 months,Dispatch reliability %
UAE-0014,Tech_Forward_Carrier,Exploring,Procurement/Finance,Commercial airline (full-service),31-80,<2 years,Other GCC,Predictive (some AI),6-10,$500K-$2M,1284618,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,6,No barriers,1,0,1,1,0,0,0,0,Full cloud (SaaS),$3K-$8K,6274,Per-aircraft/year,Joint committee,6-12 months,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,4,2,Airbus narrow (A320),LinkedIn/social media,5,2,3,5,4,1,1,0,1,1,0,0,0,No platform,8,1,0,1,1,1,1,0,1,1.5x,Unscheduled maintenance reduction
UAE-0015,Tech_Forward_Carrier,Hot,Fleet/Maintenance Manager,Charter/private aviation,11-30,11-20 years,Abu Dhabi,Scheduled/calendar,1-2,$2M-$10M,6263765,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,8,No barriers,1,1,1,0,0,0,0,0,Full cloud (SaaS),$1K-$3K,2671,Fixed monthly SaaS,IT/Digital lead,<1 month,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,3,6,Airbus narrow (A320),Aviation publication,2,2,2,2,2,1,0,1,1,0,0,0,0,Dissatisfied - hard to integrate,9,1,1,1,0,0,0,0,0,3x in 12 months,Cost saved per aircraft/yr
UAE-0016,Tech_Forward_Carrier,Warm,Fleet/Maintenance Manager,Charter/private aviation,11-30,2-5 years,Other GCC,Condition-based,3-5,$2M-$10M,6371502,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,9,No barriers,1,1,1,0,0,0,0,0,Full cloud (SaaS),$3K-$8K,7377,Pay-per-insight,Procurement/Finance,3-6 months,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,4,5,Airbus wide (A330/A350/A380),Word of mouth,4,1,2,5,4,1,1,0,1,0,1,0,0,Dissatisfied - poor accuracy,9,1,0,1,1,0,1,0,0,1.5x,Unscheduled maintenance reduction
UAE-0017,Tech_Forward_Carrier,Hot,MRO Engineer/Technician,Aircraft leasing,81-200,11-20 years,Abu Dhabi,Predictive (some AI),1-2,$2M-$10M,6011701,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,10,Lack data expertise,1,1,1,0,0,0,0,0,Full cloud (SaaS),$3K-$8K,5237,Fixed monthly SaaS,IT/Digital lead,3-6 months,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,7,9,Airbus wide (A330/A350/A380),LinkedIn/social media,4,1,3,4,4,1,1,0,0,0,1,0,0,No platform,8,0,0,0,1,0,0,0,0,5x+,Dispatch reliability %
UAE-0018,Tech_Forward_Carrier,Hot,Director/VP Operations,Commercial airline (full-service),11-30,2-5 years,Other GCC,Condition-based,3-5,$500K-$2M,1236344,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,7,Cybersecurity,1,0,0,0,0,1,0,1,Full cloud (SaaS),>$20K,20365,Pay-per-insight,Head of Maintenance/CAMO,3-6 months,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,9,Airbus narrow (A320),Aviation publication,4,1,3,5,3,1,1,1,1,0,1,0,0,No platform,8,1,1,0,1,1,1,0,0,5x+,AOG reduction %
UAE-0019,Tech_Forward_Carrier,Hot,Director/VP Operations,Charter/private aviation,31-80,6-10 years,Dubai,Predictive (some AI),1-2,$2M-$10M,6052387,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,7,Regulatory concerns,1,0,1,1,0,0,0,0,Full cloud (SaaS),>$20K,29803,Fixed monthly SaaS,Head of Maintenance/CAMO,6-12 months,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,4,9,Airbus narrow (A320),Email invite,5,1,2,5,4,0,1,0,0,1,1,0,0,Dissatisfied - hard to integrate,8,0,0,1,1,1,1,0,0,3x in 12 months,AOG reduction %
UAE-0020,Tech_Forward_Carrier,Exploring,Procurement/Finance,Commercial airline (full-service),31-80,6-10 years,Dubai,Scheduled/calendar,3-5,$2M-$10M,9467458,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,7,Cybersecurity,1,0,1,0,0,1,0,0,Hybrid,$1K-$3K,2408,Hardware lease + software,Head of Maintenance/CAMO,3-6 months,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,7,5,Airbus narrow (A320),Industry event,4,2,2,4,4,0,0,1,1,0,0,0,0,Dissatisfied - poor accuracy,7,0,0,0,0,0,0,0,1,3x in 12 months,Unscheduled maintenance reduction
UAE-0021,Tech_Forward_Carrier,Warm,Fleet/Maintenance Manager,Commercial airline (full-service),81-200,6-10 years,Abu Dhabi,Predictive (some AI),3-5,$10M-$50M,40415963,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,6,Cybersecurity,1,1,0,1,0,0,0,0,No preference,$3K-$8K,6179,Hardware lease + software,IT/Digital lead,3-6 months,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,2,5,Airbus narrow (A320),Email invite,5,2,2,4,4,1,0,0,1,0,0,0,0,Very satisfied,6,1,0,0,0,0,0,0,0,2x,AOG reduction %
UAE-0022,Tech_Forward_Carrier,Warm,MRO Engineer/Technician,Low-cost carrier,31-80,20+ years,Abu Dhabi,Predictive (some AI),0,$2M-$10M,6194812,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,9,No barriers,1,0,1,1,0,0,0,0,Full cloud (SaaS),>$20K,24715,Hardware lease + software,Joint committee,1-3 months,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,8,7,Airbus narrow (A320),LinkedIn/social media,3,2,2,5,3,0,0,1,0,0,0,0,0,No platform,7,0,0,0,1,1,1,0,0,2x,Dispatch reliability %
UAE-0023,Tech_Forward_Carrier,Hot,C-Suite,Charter/private aviation,81-200,20+ years,Dubai,Predictive (some AI),1-2,$10M-$50M,32272442,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,10,Legacy integration,1,1,1,0,0,0,0,0,Full cloud (SaaS),$8K-$20K,10975,Hardware lease + software,IT/Digital lead,3-6 months,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,2,7,Business jet/helicopter,Word of mouth,4,3,3,3,5,1,0,0,0,0,0,0,0,Dissatisfied - hard to integrate,10,0,1,1,1,1,1,0,0,2x,Dispatch reliability %
UAE-0024,Tech_Forward_Carrier,Hot,Procurement/Finance,Charter/private aviation,31-80,6-10 years,Other GCC,Predictive (some AI),3-5,$2M-$10M,6929218,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,Legacy integration,1,1,1,0,0,0,0,0,Full cloud (SaaS),<$1K,456,Fixed monthly SaaS,C-Suite,3-6 months,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,5,7,Airbus wide (A330/A350/A380),Email invite,5,2,2,4,2,0,0,0,0,1,1,0,0,No platform,6,1,1,1,0,1,1,0,0,2x,AOG reduction %
UAE-0025,Tech_Forward_Carrier,Warm,Director/VP Operations,Defence/government,81-200,20+ years,Other GCC,Condition-based,1-2,$10M-$50M,28863443,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,7,High upfront cost,1,1,1,0,0,0,0,0,No preference,>$20K,36227,Per-aircraft/year,C-Suite,>12 months,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,2,5,Airbus wide (A330/A350/A380),Aviation publication,4,3,1,5,4,0,0,0,1,0,1,0,0,No platform,6,0,0,0,0,1,1,1,1,3x in 12 months,AOG reduction %
UAE-0026,Tech_Forward_Carrier,Hot,C-Suite,Independent MRO,31-80,11-20 years,Dubai,Full predictive + digital twin,6-10,$10M-$50M,32079465,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,9,Cybersecurity,1,1,1,0,0,0,0,0,Full cloud (SaaS),>$20K,24974,Fixed monthly SaaS,IT/Digital lead,1-3 months,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,3,7,Boeing narrow (B737),LinkedIn/social media,4,2,4,3,5,1,1,0,0,0,1,0,0,Satisfied but expensive,4,1,0,1,1,0,1,0,0,1.5x,Cost saved per aircraft/yr
UAE-0027,Tech_Forward_Carrier,Exploring,C-Suite,Low-cost carrier,81-200,11-20 years,Abu Dhabi,Scheduled/calendar,1-2,$2M-$10M,5863393,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,7,Regulatory concerns,1,1,1,0,0,0,0,0,Hybrid,$3K-$8K,5778,Fixed monthly SaaS,C-Suite,1-3 months,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,5,4,Airbus narrow (A320),LinkedIn/social media,4,1,3,5,4,1,0,0,1,0,1,0,0,No platform,9,1,0,1,0,0,1,0,0,2x,Cost saved per aircraft/yr
UAE-0028,Tech_Forward_Carrier,Hot,C-Suite,Commercial airline (full-service),31-80,2-5 years,Outside GCC,Full predictive + digital twin,6-10,$2M-$10M,6276569,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,9,Cybersecurity,0,1,0,0,1,1,0,0,Hybrid,>$20K,31173,Fixed monthly SaaS,Procurement/Finance,1-3 months,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,7,Airbus narrow (A320),Aviation publication,5,2,2,4,5,1,1,0,1,0,0,0,0,Dissatisfied - hard to integrate,6,1,1,0,1,1,0,0,0,Strategic value,Cost saved per aircraft/yr
UAE-0029,Tech_Forward_Carrier,Hot,Director/VP Operations,Commercial airline (full-service),11-30,6-10 years,Outside GCC,Predictive (some AI),1-2,$500K-$2M,1352580,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,8,Legacy integration,0,1,1,1,0,0,0,0,Hybrid,$1K-$3K,1921,Hardware lease + software,Head of Maintenance/CAMO,3-6 months,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,4,9,Boeing narrow (B737),Word of mouth,5,3,3,5,4,0,0,1,1,1,1,0,0,Satisfied but expensive,8,1,1,1,0,0,1,0,0,3x in 12 months,Unscheduled maintenance reduction
UAE-0030,Tech_Forward_Carrier,Warm,MRO Engineer/Technician,Low-cost carrier,31-80,2-5 years,Dubai,Condition-based,1-2,$2M-$10M,5882871,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,9,High upfront cost,0,1,0,0,0,0,1,1,Full cloud (SaaS),$1K-$3K,2214,Hardware lease + software,Head of Maintenance/CAMO,6-12 months,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,3,9,Airbus narrow (A320),LinkedIn/social media,3,1,3,5,4,0,0,1,0,0,0,0,0,Dissatisfied - hard to integrate,8,0,0,1,1,0,0,0,0,1.5x,AOG reduction %
UAE-0031,Tech_Forward_Carrier,Hot,Director/VP Operations,Commercial airline (full-service),11-30,2-5 years,Abu Dhabi,Predictive (some AI),1-2,<$500K,249540,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,7,Regulatory concerns,1,1,1,0,0,0,0,0,On-premise,$1K-$3K,2027,Fixed monthly SaaS,C-Suite,1-3 months,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,2,9,Regional/turboprop,LinkedIn/social media,4,1,2,5,4,0,0,0,1,0,0,0,0,Dissatisfied - hard to integrate,6,0,0,0,0,0,1,0,0,2x,Dispatch reliability %
UAE-0032,Tech_Forward_Carrier,Exploring,IT/Digital Lead,Low-cost carrier,31-80,11-20 years,Dubai,Predictive (some AI),3-5,$10M-$50M,31096592,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,6,Cybersecurity,1,1,1,0,0,0,0,0,Full cloud (SaaS),<$1K,454,Fixed monthly SaaS,Head of Maintenance/CAMO,3-6 months,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,5,4,Airbus narrow (A320),Industry event,3,1,2,4,4,1,0,0,0,0,1,0,0,Satisfied but expensive,10,0,0,0,1,0,1,1,1,3x in 12 months,Component lifespan extension
UAE-0033,Tech_Forward_Carrier,Hot,IT/Digital Lead,Commercial airline (full-service),81-200,6-10 years,Dubai,Predictive (some AI),0,$10M-$50M,33859468,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,8,No barriers,1,1,1,0,0,0,0,0,On-premise,$1K-$3K,1993,Fixed monthly SaaS,C-Suite,1-3 months,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,8,Airbus wide (A330/A350/A380),LinkedIn/social media,4,2,2,5,5,1,1,1,0,0,0,0,0,Dissatisfied - hard to integrate,7,0,0,1,1,0,1,0,0,2x,Cost saved per aircraft/yr
UAE-0034,Tech_Forward_Carrier,Warm,C-Suite,Defence/government,1-10,2-5 years,Other GCC,Full predictive + digital twin,1-2,$2M-$10M,6361540,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,9,Legacy integration,0,1,1,0,0,1,0,0,Full cloud (SaaS),>$20K,53635,Per-aircraft/year,Head of Maintenance/CAMO,3-6 months,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5,6,Airbus narrow (A320),Word of mouth,4,1,3,5,5,0,0,0,0,0,1,0,0,Dissatisfied - hard to integrate,9,0,1,0,1,0,1,0,0,1.5x,Unscheduled maintenance reduction
UAE-0035,Tech_Forward_Carrier,Warm,C-Suite,Low-cost carrier,81-200,6-10 years,Dubai,Predictive (some AI),0,$10M-$50M,39689321,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,Legacy integration,1,0,1,0,1,0,0,0,Full cloud (SaaS),$8K-$20K,16198,Fixed monthly SaaS,Head of Maintenance/CAMO,6-12 months,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,5,9,Business jet/helicopter,Industry event,4,4,4,4,4,1,1,0,0,1,1,0,0,Dissatisfied - poor support,6,0,1,0,1,0,1,0,0,5x+,Dispatch reliability %
UAE-0036,Tech_Forward_Carrier,Hot,Director/VP Operations,Charter/private aviation,81-200,2-5 years,Dubai,Predictive (some AI),1-2,$10M-$50M,30676772,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,9,Cybersecurity,1,1,0,0,1,0,0,0,Full cloud (SaaS),>$20K,37455,Outcome-based,Joint committee,1-3 months,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,4,7,Airbus wide (A330/A350/A380),Industry event,4,2,2,5,5,0,1,0,0,1,1,0,0,Dissatisfied - poor support,7,0,0,0,0,0,1,0,0,ROI not primary,AOG reduction %
UAE-0037,Tech_Forward_Carrier,Hot,Director/VP Operations,Low-cost carrier,31-80,6-10 years,Sharjah/Northern Emirates,Predictive (some AI),0,$10M-$50M,22290894,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,10,High upfront cost,1,1,1,0,0,0,0,0,Full cloud (SaaS),$1K-$3K,1958,Per-aircraft/year,Procurement/Finance,1-3 months,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,5,6,Boeing narrow (B737),LinkedIn/social media,4,2,3,4,4,1,1,0,0,1,0,0,0,Very satisfied,6,0,1,0,1,0,1,0,0,2x,Dispatch reliability %
UAE-0038,Tech_Forward_Carrier,Warm,Director/VP Operations,Low-cost carrier,81-200,2-5 years,Other GCC,Predictive (some AI),1-2,<$500K,244660,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,9,No barriers,1,1,0,0,0,0,1,0,Full cloud (SaaS),$1K-$3K,2185,Fixed monthly SaaS,Procurement/Finance,<1 month,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,6,5,Airbus narrow (A320),LinkedIn/social media,3,3,3,4,5,1,1,0,0,1,1,0,0,Satisfied but expensive,7,0,0,0,1,0,1,1,0,2x,Cost saved per aircraft/yr
UAE-0039,Tech_Forward_Carrier,Warm,Fleet/Maintenance Manager,Defence/government,1-10,6-10 years,Abu Dhabi,Predictive (some AI),1-2,$500K-$2M,1471118,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,9,No barriers,1,1,0,0,1,0,0,0,On-premise,$3K-$8K,7540,Per-aircraft/year,C-Suite,3-6 months,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,7,6,Boeing wide (B777/B787),Industry event,5,2,3,4,4,0,0,0,0,0,1,0,0,No platform,9,0,0,1,1,1,0,0,1,Strategic value,Cost saved per aircraft/yr
